antecedents,consequents,support,confidence,lift
"frozenset({'22918', '22917'})",frozenset({'22916'}),0.010173145590514047,0.9556962025316457,82.95554815308314
frozenset({'22916'}),"frozenset({'22918', '22917'})",0.010173145590514047,0.8830409356725146,82.95554815308313
"frozenset({'22918', '22916'})",frozenset({'22917'}),0.010173145590514047,0.9617834394904459,82.51879533154154
frozenset({'22917'}),"frozenset({'22918', '22916'})",0.010173145590514047,0.8728323699421965,82.51879533154154
frozenset({'22917'}),frozenset({'22916'}),0.01091423566664421,0.9364161849710982,81.28202007909948
frozenset({'22916'}),frozenset({'22917'}),0.01091423566664421,0.9473684210526316,81.28202007909948
"frozenset({'22917', '22916'})",frozenset({'22918'}),0.010173145590514047,0.9320987654320987,79.05795414462081
frozenset({'22918'}),"frozenset({'22917', '22916'})",0.010173145590514047,0.8628571428571429,79.05795414462081
frozenset({'22918'}),frozenset({'22916'}),0.0105773765411305,0.8971428571428571,77.8730492898914
frozenset({'22916'}),frozenset({'22918'}),0.0105773765411305,0.9181286549707602,77.8730492898914
