antecedents,consequents,support,confidence,lift
"frozenset({'22916', '22919'})",frozenset({'22918'}),0.01010713563776026,0.9174311926605504,76.92427305240243
frozenset({'22918'}),"frozenset({'22916', '22919'})",0.01010713563776026,0.8474576271186441,76.92427305240243
"frozenset({'22916', '22919'})",frozenset({'22917'}),0.01051142106327067,0.9541284403669725,76.74916088610428
frozenset({'22917'}),"frozenset({'22916', '22919'})",0.01051142106327067,0.845528455284553,76.74916088610428
"frozenset({'22920', '22916'})",frozenset({'22917'}),0.01051142106327067,0.9541284403669725,76.74916088610428
frozenset({'22917'}),"frozenset({'22920', '22916'})",0.01051142106327067,0.845528455284553,76.74916088610428
"frozenset({'22920', '22919'})",frozenset({'22917'}),0.010410349706893066,0.9537037037037037,76.71499548328818
frozenset({'22917'}),"frozenset({'22920', '22919'})",0.010410349706893066,0.8373983739837398,76.71499548328818
"frozenset({'22918', '22916'})",frozenset({'22917'}),0.010309278350515464,0.9532710280373832,76.68019147481195
frozenset({'22917'}),"frozenset({'22918', '22916'})",0.010309278350515464,0.8292682926829269,76.68019147481195
