antecedents,consequents,support,confidence,lift
"frozenset({'22919', '22916'})",frozenset({'22917'}),0.010290430422064354,0.9563106796116504,76.28171521035598
frozenset({'22917'}),"frozenset({'22919', '22916'})",0.010290430422064354,0.8208333333333333,76.28171521035598
"frozenset({'22918', '22917'})",frozenset({'22916'}),0.010603844546594233,0.9441860465116279,76.26792267687175
frozenset({'22916'}),"frozenset({'22918', '22917'})",0.010603844546594233,0.8565400843881856,76.26792267687175
"frozenset({'22918', '22916'})",frozenset({'22917'}),0.010603844546594233,0.9530516431924883,76.02175273865414
frozenset({'22917'}),"frozenset({'22918', '22916'})",0.010603844546594233,0.8458333333333333,76.02175273865414
frozenset({'22917'}),"frozenset({'22920', '22916'})",0.010447137484329294,0.8333333333333334,75.96825396825398
"frozenset({'22920', '22916'})",frozenset({'22917'}),0.010447137484329294,0.9523809523809523,75.96825396825396
"frozenset({'22919', '22916'})",frozenset({'22918'}),0.010133723359799415,0.9417475728155339,75.75132577302766
frozenset({'22918'}),"frozenset({'22919', '22916'})",0.010133723359799415,0.8151260504201681,75.75132577302765
