dataset,num_transactions,num_items,freq_time,rules_time,fpgrowth_total_time,bruteforce_time,log_bruteforce_time,speedup,num_freq_itemsets,num_rules
dataset1_trans_25%,4947,3606,7.258939266204834,0.015581607818603516,7.2745208740234375,inf,1081.2085062746803,inf,2127,1224
dataset2_trans_50%,9894,3780,12.196028709411621,0.0058405399322509766,12.201869249343872,inf,1133.8887555158772,inf,1897,1000
dataset3_trans_75%,14843,3876,21.744802474975586,0.0053539276123046875,21.75015640258789,inf,1162.9637848810416,inf,2123,1087
dataset4_trans_100%,19791,3916,25.820408582687378,0.009651899337768555,25.830060482025146,inf,1175.1299307589506,inf,2007,956
dataset5_items_25%,19144,979,26.54334831237793,0.0060024261474609375,26.54935073852539,9.781341922748022e+290,290.990398440643,3.684211346288952e+289,2188,1122
dataset6_items_50%,19538,1958,25.793253660202026,0.0027923583984375,25.796046018600464,inf,585.7076116153424,inf,2071,1015
dataset7_items_75%,19726,2937,25.00230360031128,0.0056116580963134766,25.007915258407593,inf,880.4201362939004,inf,2007,956
dataset8_items_100%,19791,3916,25.37259078025818,0.0056607723236083984,25.378251552581787,inf,1175.1299307589506,inf,2007,956
